CPU,RAM,RAM_Type,GPU,Storage,Screen,Price,Brand
AMD Ryzen 9 5900HX,16GB,DDR4,RTX 3080,2TB,1080p,1600,MSI
Intel Core i9-13900H,16GB,DDR5,RTX 3050Ti,1TB,4K,1930,Gigabyte
Intel Core i9-12900H,32GB,DDR4,RTX 4090,1TB,1080p,2310,Alienware
AMD Ryzen 3 5300U,8GB,DDR4,GTX 1660Ti,512GB,1080p,630,Lenovo
Intel Core i5-11400H,16GB,DDR4,RTX 2070,512GB,720p,690,Lenovo
Intel Core i3-1115G4,8GB,DDR4,RTX 3060,512GB,1080p,860,ASUS
Intel Core i9-12900H,64GB,DDR4,RTX 4060,1TB,1080p,1920,MSI
AMD Ryzen 9 7940HS,64GB,DDR5,RTX 3050Ti,512GB,1440p,2140,Lenovo
Intel Core i3-1115G4,16GB,DDR4,RTX 2060,512GB,1080p,840,Lenovo
Intel Core i5-11400H,4GB,DDR4,Integrated,256GB,1080p,470,Acer
AMD Ryzen 9 7940HS,16GB,DDR5,RTX 4070,1TB,4K,2460,ASUS
Intel Core i9-12900H,16GB,DDR5,RTX 2070,1TB,1080p,1160,Dell
AMD Ryzen 7 7730U,16GB,DDR4,RTX 3080,512GB,1080p,1260,ASUS
Intel Core i3-1115G4,8GB,DDR4,GTX 1660Ti,512GB,1080p,700,Dell
AMD Ryzen 5 5500U,4GB,DDR4,GTX 1660,256GB,720p,570,Lenovo
Intel Core i3-1115G4,8GB,DDR4,GTX 1660Ti,1TB,1080p,780,Dell
AMD Ryzen 5 5600H,32GB,DDR4,RTX 3050,512GB,1080p,970,Lenovo
Intel Core i9-12900H,32GB,DDR4,RTX 3050Ti,2TB,1440p,1540,Gigabyte
AMD Ryzen 5 5600H,16GB,DDR3,RTX 4050,512GB,1080p,830,Lenovo
Intel Core i5-10300H,8GB,DDR4,GTX 1660,512GB,720p,560,HP
AMD Ryzen 5 5500U,8GB,DDR4,GTX 1650,128GB,1080p,530,Acer
AMD Ryzen 3 3250U,4GB,DDR4,GTX 1660,128GB,1080p,590,Dell
AMD Ryzen 9 5900HX,32GB,DDR5,RTX 4080,2TB,1440p,2540,MSI
Intel Core i5-11400H,8GB,DDR4,Integrated,128GB,720p,460,Lenovo
Intel Core i9-11900H,32GB,DDR4,RTX 4090,512GB,4K,2380,ASUS
Intel Core i5-12500H,8GB,DDR4,RTX 2070,512GB,1440p,1190,Gigabyte
Intel Core i5-12500H,8GB,DDR5,RTX 4050,512GB,1440p,1460,MSI
Intel Core i3-1005G1,16GB,DDR4,GTX 1660Ti,1TB,720p,610,Dell
Intel Core i3-1115G4,16GB,DDR4,RTX 3050Ti,512GB,1080p,850,ASUS
AMD Ryzen 9 5900HX,64GB,DDR5,RTX 3060,1TB,4K,2760,Gigabyte
AMD Ryzen 7 5800H,32GB,DDR4,RTX 4070,1TB,4K,2180,ASUS
Intel Core i5-10300H,16GB,DDR3,GTX 1660Ti,256GB,1080p,590,Acer
Intel Core i5-11400H,32GB,DDR4,RTX 3050Ti,1TB,720p,1080,MSI
AMD Ryzen 5 5600H,16GB,DDR4,GTX 1660Ti,256GB,1080p,740,HP
Intel Core i5-12500H,32GB,DDR5,RTX 3060,256GB,1080p,1100,Dell
Intel Core i7-12700H,16GB,DDR4,RTX 4060,1TB,1440p,1220,Lenovo
Intel Core i5-11400H,16GB,DDR4,Integrated,256GB,1080p,590,Dell
Intel Core i7-13620H,32GB,DDR5,RTX 4060,1TB,1440p,1660,Lenovo
AMD Ryzen 3 5300U,32GB,DDR4,RTX 4050,512GB,1080p,980,Lenovo
Intel Core i7-11800H,8GB,DDR3,GTX 1050Ti,512GB,1080p,670,Lenovo
Intel Core i5-11400H,16GB,DDR4,RTX 3050,512GB,1080p,780,Lenovo
Intel Core i9-12900H,16GB,DDR4,RTX 3050,512GB,1080p,970,Lenovo
Intel Core i9-12900H,32GB,DDR5,RTX 3070,1TB,4K,2430,ASUS
Intel Core i7-11800H,32GB,DDR4,RTX 3070,256GB,1440p,1310,Lenovo
Intel Core i5-12500H,16GB,DDR4,RTX 2070,512GB,1080p,880,Dell
Intel Core i3-1115G4,8GB,DDR4,RTX 3050,256GB,1080p,650,HP
Intel Core i9-12900H,64GB,DDR4,RTX 3050Ti,2TB,1080p,1750,MSI
AMD Ryzen 7 7730U,16GB,DDR4,RTX 4070,512GB,4K,1770,Lenovo
Intel Core i9-12900H,64GB,DDR5,RTX 4080,1TB,1440p,3440,Razer
Intel Core i9-13900H,64GB,DDR5,RTX 2060,1TB,1440p,2330,Gigabyte
AMD Ryzen 3 3250U,8GB,DDR4,GTX 1050Ti,256GB,1080p,500,HP
AMD Ryzen 5 5600H,8GB,DDR4,RTX 2060,512GB,1080p,810,Lenovo
AMD Ryzen 7 7730U,16GB,DDR5,RTX 4050,512GB,1080p,1160,ASUS
AMD Ryzen 7 7730U,32GB,DDR5,RTX 3050Ti,512GB,1440p,1700,ASUS
Intel Core i3-1005G1,16GB,DDR4,RTX 2060,512GB,1080p,670,Acer
AMD Ryzen 9 5900HX,16GB,DDR5,RTX 3080,2TB,1440p,2380,Razer
Intel Core i9-13900H,32GB,DDR5,RTX 3050,1TB,1080p,1420,ASUS
AMD Ryzen 7 5800H,32GB,DDR4,GTX 1660Ti,512GB,1440p,1230,Dell
AMD Ryzen 3 3250U,8GB,DDR4,GTX 1650,128GB,1080p,580,Dell
AMD Ryzen 5 5500U,8GB,DDR4,RTX 4050,512GB,1080p,950,MSI
AMD Ryzen 5 5500U,8GB,DDR3,GTX 1660,256GB,1080p,560,HP
Intel Core i3-1115G4,16GB,DDR4,RTX 3050,1TB,1080p,730,Dell
Intel Core i9-12900H,32GB,DDR4,RTX 2060,1TB,1080p,1420,MSI
AMD Ryzen 3 5300U,4GB,DDR4,Integrated,512GB,1080p,410,Acer
Intel Core i5-12500H,16GB,DDR4,RTX 2070,512GB,1080p,1060,ASUS
AMD Ryzen 7 7730U,16GB,DDR5,RTX 4050,256GB,1440p,1540,MSI
Intel Core i7-12700H,16GB,DDR5,GTX 1650,256GB,1080p,910,Dell
AMD Ryzen 9 7940HS,32GB,DDR5,RTX 3050,1TB,4K,2080,Lenovo
Intel Core i5-11400H,16GB,DDR4,RTX 3050,512GB,1080p,850,HP
Intel Core i9-12900H,64GB,DDR5,RTX 4080,2TB,1080p,2720,ASUS
AMD Ryzen 7 5800H,64GB,DDR4,RTX 4050,256GB,1080p,1340,Dell
Intel Core i3-1115G4,16GB,DDR4,Integrated,128GB,1080p,490,Dell
Intel Core i9-12900H,16GB,DDR5,RTX 3050Ti,1TB,4K,1850,ASUS
AMD Ryzen 7 5800H,16GB,DDR4,RTX 3070,512GB,1440p,1420,ASUS
AMD Ryzen 5 5600H,32GB,DDR4,RTX 4050,512GB,1080p,1160,Dell
AMD Ryzen 7 7730U,32GB,DDR5,GTX 1050Ti,1TB,1440p,1290,Dell
Intel Core i5-12500H,32GB,DDR4,Integrated,512GB,1080p,810,Dell
Intel Core i5-12500H,8GB,DDR5,RTX 2070,512GB,1080p,1020,Lenovo
AMD Ryzen 9 5900HX,64GB,DDR4,RTX 4080,1TB,4K,3340,Alienware
AMD Ryzen 9 7940HS,16GB,DDR5,RTX 3050Ti,512GB,1080p,1390,ASUS
AMD Ryzen 5 5600H,8GB,DDR4,RTX 3060,512GB,1080p,850,Dell
AMD Ryzen 3 3250U,8GB,DDR3,RTX 2070,512GB,720p,650,Gigabyte
Intel Core i3-1005G1,16GB,DDR4,GTX 1050Ti,512GB,1080p,610,HP
AMD Ryzen 5 5600H,16GB,DDR3,RTX 3060,256GB,1080p,840,ASUS
Intel Core i3-1115G4,16GB,DDR4,RTX 3050,1TB,1080p,820,Dell
Intel Core i5-10300H,8GB,DDR4,RTX 3050Ti,512GB,1080p,880,ASUS
Intel Core i3-1005G1,8GB,DDR4,Integrated,256GB,1080p,440,Lenovo
AMD Ryzen 7 7730U,32GB,DDR5,GTX 1660Ti,256GB,1080p,1200,ASUS
AMD Ryzen 3 3250U,8GB,DDR4,GTX 1050Ti,128GB,1080p,530,Acer
Intel Core i7-11800H,16GB,DDR3,RTX 3070,512GB,1080p,860,Lenovo
Intel Core i7-11800H,16GB,DDR3,GTX 1050Ti,512GB,1440p,800,Lenovo
Intel Core i9-13900H,32GB,DDR4,RTX 3050,512GB,4K,1850,Gigabyte
AMD Ryzen 5 5500U,8GB,DDR4,RTX 3060,512GB,1080p,950,ASUS
Intel Core i7-13620H,16GB,DDR5,GTX 1660Ti,256GB,1440p,1370,ASUS
AMD Ryzen 5 5500U,8GB,DDR4,RTX 2070,256GB,1080p,830,Lenovo
AMD Ryzen 7 7730U,64GB,DDR5,RTX 3080,1TB,1080p,1960,Lenovo
AMD Ryzen 5 5600H,8GB,DDR4,GTX 1660Ti,256GB,1080p,670,Lenovo
Intel Core i7-13620H,16GB,DDR5,GTX 1660Ti,512GB,1080p,1130,Dell
AMD Ryzen 3 3250U,16GB,DDR3,GTX 1660Ti,1TB,1080p,680,HP
Intel Core i9-13900H,64GB,DDR5,RTX 4070,1TB,1440p,3120,Alienware
AMD Ryzen 5 5600H,16GB,DDR4,GTX 1650,256GB,1080p,770,HP
Intel Core i3-1005G1,8GB,DDR4,RTX 4050,512GB,1080p,900,ASUS
AMD Ryzen 5 5600H,16GB,DDR4,GTX 1660Ti,256GB,1080p,830,Dell
AMD Ryzen 5 5500U,32GB,DDR4,GTX 1660Ti,512GB,1080p,980,Dell
Intel Core i7-13620H,16GB,DDR5,GTX 1050Ti,512GB,1080p,1140,ASUS
AMD Ryzen 3 3250U,8GB,DDR4,GTX 1050Ti,128GB,720p,500,Lenovo
AMD Ryzen 7 7730U,64GB,DDR5,RTX 3050Ti,256GB,1440p,1670,Lenovo
Intel Core i3-1115G4,16GB,DDR4,GTX 1660,256GB,720p,490,Acer
AMD Ryzen 5 5600H,32GB,DDR4,GTX 1660,512GB,1080p,820,Acer
AMD Ryzen 3 5300U,8GB,DDR4,RTX 2070,512GB,1080p,840,Lenovo
Intel Core i7-11800H,16GB,DDR4,RTX 2070,256GB,1440p,1120,Lenovo
Intel Core i9-13900H,32GB,DDR5,RTX 3050,1TB,1440p,1840,Gigabyte
AMD Ryzen 7 7730U,32GB,DDR4,RTX 4060,512GB,1440p,1660,MSI
AMD Ryzen 5 5600H,16GB,DDR4,GTX 1660,256GB,1080p,730,Dell
Intel Core i7-13620H,16GB,DDR4,RTX 4070,512GB,1440p,1570,Lenovo
AMD Ryzen 3 5300U,32GB,DDR4,RTX 3060,256GB,1080p,980,ASUS
AMD Ryzen 9 5900HX,16GB,DDR5,RTX 2060,1TB,1440p,1810,MSI
AMD Ryzen 9 7940HS,64GB,DDR5,RTX 3050,1TB,1080p,1780,Gigabyte
Intel Core i5-11400H,16GB,DDR3,Integrated,128GB,1080p,490,Acer
AMD Ryzen 5 5600H,8GB,DDR4,Integrated,256GB,1080p,500,HP
AMD Ryzen 3 5300U,4GB,DDR4,Integrated,256GB,720p,400,HP
Intel Core i7-13620H,32GB,DDR5,GTX 1650,1TB,1080p,1140,Dell
Intel Core i3-1115G4,16GB,DDR4,RTX 3050Ti,1TB,720p,880,MSI
Intel Core i5-12500H,8GB,DDR4,GTX 1660,256GB,1440p,830,Acer
AMD Ryzen 9 7940HS,32GB,DDR5,RTX 4080,1TB,4K,2820,MSI
Intel Core i7-12700H,64GB,DDR4,RTX 3080,512GB,1440p,1920,ASUS
AMD Ryzen 9 5900HX,32GB,DDR5,RTX 4090,512GB,1080p,2450,MSI
Intel Core i7-13620H,16GB,DDR5,RTX 4070,1TB,4K,2400,Gigabyte
AMD Ryzen 9 7940HS,32GB,DDR5,RTX 4050,1TB,4K,2240,Gigabyte
AMD Ryzen 7 5800H,32GB,DDR4,RTX 3060,256GB,1080p,1070,Dell
Intel Core i5-11400H,8GB,DDR4,GTX 1660Ti,256GB,1080p,660,Acer
AMD Ryzen 5 5600H,16GB,DDR4,Integrated,512GB,1440p,720,Acer
Intel Core i7-11800H,8GB,DDR4,GTX 1050Ti,512GB,1080p,840,MSI
Intel Core i5-12500H,16GB,DDR4,RTX 3050,512GB,1080p,840,HP
Intel Core i7-13620H,16GB,DDR5,RTX 2060,256GB,1440p,1240,Dell
Intel Core i7-12700H,32GB,DDR4,GTX 1660,512GB,1440p,1100,Dell
AMD Ryzen 5 5600H,16GB,DDR4,RTX 4050,512GB,1440p,1230,ASUS
Intel Core i5-10300H,32GB,DDR4,RTX 2060,512GB,1080p,890,HP
Intel Core i7-11800H,32GB,DDR4,RTX 4070,1TB,1080p,1400,Gigabyte
Intel Core i7-12700H,32GB,DDR4,RTX 3070,512GB,1440p,1690,MSI
Intel Core i5-11400H,16GB,DDR4,RTX 3060,512GB,1080p,850,Dell
Intel Core i9-12900H,16GB,DDR5,RTX 3070,1TB,4K,2030,Dell
Intel Core i9-12900H,32GB,DDR4,RTX 2070,512GB,1080p,1280,MSI
Intel Core i7-12700H,16GB,DDR4,RTX 3050Ti,512GB,1080p,990,Dell
AMD Ryzen 9 5900HX,32GB,DDR5,RTX 2070,512GB,1440p,1690,Lenovo
AMD Ryzen 3 3250U,8GB,DDR4,GTX 1650,256GB,1080p,530,HP
Intel Core i9-11900H,32GB,DDR4,RTX 4070,1TB,1440p,1860,MSI
AMD Ryzen 9 7940HS,64GB,DDR5,RTX 4090,1TB,1440p,3560,Alienware
Intel Core i7-13620H,16GB,DDR5,RTX 3080,1TB,1440p,1850,Dell
AMD Ryzen 9 7940HS,64GB,DDR4,RTX 4090,1TB,1440p,3230,Razer
Intel Core i7-13620H,32GB,DDR4,GTX 1660Ti,512GB,1440p,1470,ASUS
AMD Ryzen 9 7940HS,32GB,DDR5,RTX 4060,2TB,1440p,2150,MSI
Intel Core i3-1115G4,16GB,DDR4,Integrated,128GB,1080p,560,Lenovo
Intel Core i9-12900H,64GB,DDR5,RTX 3050Ti,1TB,1080p,1910,ASUS
Intel Core i9-13900H,32GB,DDR5,RTX 2060,1TB,1440p,1620,Lenovo
Intel Core i5-11400H,8GB,DDR3,GTX 1650,128GB,1080p,490,Dell
Intel Core i7-11800H,8GB,DDR3,RTX 3050,1TB,1440p,1000,Gigabyte
AMD Ryzen 3 5300U,16GB,DDR4,GTX 1660,256GB,1080p,690,Acer
Intel Core i7-12700H,16GB,DDR4,GTX 1650,512GB,1440p,1170,Gigabyte
Intel Core i3-1115G4,8GB,DDR4,RTX 2060,512GB,720p,590,Acer
Intel Core i9-13900H,16GB,DDR4,RTX 3050Ti,512GB,4K,1450,Lenovo
AMD Ryzen 7 5800H,32GB,DDR4,RTX 2070,1TB,1440p,1430,Dell
AMD Ryzen 9 5900HX,64GB,DDR4,RTX 2070,512GB,1440p,2140,MSI
Intel Core i9-13900H,64GB,DDR5,RTX 4080,1TB,1080p,3120,Alienware
Intel Core i9-11900H,16GB,DDR3,RTX 3060,512GB,4K,1360,Lenovo
Intel Core i9-12900H,64GB,DDR4,RTX 4070,2TB,1440p,2760,Razer
Intel Core i7-11800H,16GB,DDR4,RTX 4060,512GB,1440p,1280,ASUS
Intel Core i9-13900H,32GB,DDR5,RTX 3080,1TB,4K,3130,Alienware
Intel Core i9-12900H,16GB,DDR5,RTX 3050,2TB,1440p,1700,Dell
AMD Ryzen 3 3250U,8GB,DDR4,RTX 4050,256GB,1080p,800,Gigabyte
AMD Ryzen 9 5900HX,32GB,DDR5,RTX 4080,512GB,4K,3510,Alienware
AMD Ryzen 7 5800H,32GB,DDR4,RTX 3060,512GB,1080p,1030,Lenovo
Intel Core i5-10300H,32GB,DDR4,GTX 1660Ti,512GB,1080p,830,HP
AMD Ryzen 3 5300U,8GB,DDR4,RTX 3050Ti,512GB,720p,690,ASUS
Intel Core i7-11800H,8GB,DDR4,RTX 3050Ti,512GB,1080p,900,Dell
Intel Core i7-12700H,64GB,DDR5,RTX 4060,1TB,1080p,1830,Dell
AMD Ryzen 3 3250U,8GB,DDR4,RTX 3050Ti,256GB,1080p,880,MSI
Intel Core i5-11400H,16GB,DDR4,GTX 1660,512GB,1080p,790,Lenovo
AMD Ryzen 3 3250U,8GB,DDR4,RTX 3060,512GB,1080p,960,MSI
Intel Core i9-11900H,16GB,DDR4,RTX 3050,1TB,4K,1690,ASUS
AMD Ryzen 5 5500U,16GB,DDR4,RTX 3060,256GB,720p,870,ASUS
Intel Core i5-10300H,32GB,DDR3,RTX 2060,256GB,720p,600,HP
Intel Core i5-10300H,16GB,DDR4,GTX 1660Ti,512GB,720p,580,Acer
Intel Core i9-11900H,16GB,DDR4,RTX 4090,512GB,4K,2780,MSI
AMD Ryzen 9 7940HS,16GB,DDR5,RTX 3070,1TB,4K,2130,MSI
Intel Core i9-11900H,32GB,DDR4,RTX 3050,2TB,1440p,1630,ASUS
Intel Core i3-1005G1,32GB,DDR4,RTX 2060,512GB,720p,750,Dell
AMD Ryzen 9 7940HS,16GB,DDR5,RTX 4090,512GB,1080p,2580,Razer
AMD Ryzen 5 5600H,16GB,DDR4,RTX 3060,512GB,1080p,1010,Dell
AMD Ryzen 5 5600H,32GB,DDR4,Integrated,512GB,1080p,730,Lenovo
AMD Ryzen 9 5900HX,16GB,DDR5,RTX 3050,1TB,1440p,1640,ASUS
Intel Core i7-13620H,16GB,DDR4,RTX 3050,256GB,1080p,890,Dell
Intel Core i5-12500H,16GB,DDR4,GTX 1050Ti,256GB,1440p,810,Lenovo
AMD Ryzen 9 5900HX,16GB,DDR5,RTX 4090,512GB,4K,2850,MSI
Intel Core i7-11800H,16GB,DDR4,RTX 4060,1TB,1440p,1540,Gigabyte
Intel Core i9-12900H,32GB,DDR4,RTX 4090,2TB,1080p,2410,Alienware
Intel Core i7-13620H,32GB,DDR5,RTX 3050Ti,512GB,1080p,1260,Dell
AMD Ryzen 9 7940HS,16GB,DDR4,RTX 3080,2TB,4K,2490,Alienware
Intel Core i9-13900H,16GB,DDR5,RTX 3060,2TB,1080p,1400,Dell
Intel Core i7-12700H,64GB,DDR4,GTX 1660Ti,256GB,1080p,1440,MSI
Intel Core i3-1005G1,16GB,DDR4,RTX 3060,256GB,1080p,850,Lenovo
AMD Ryzen 5 5500U,16GB,DDR3,RTX 2060,512GB,1080p,620,HP
Intel Core i3-1005G1,8GB,DDR4,RTX 3050,512GB,720p,520,Acer
Intel Core i5-10300H,16GB,DDR4,GTX 1660,256GB,1080p,630,Acer
Intel Core i9-11900H,64GB,DDR4,RTX 4050,1TB,1080p,1630,ASUS
Intel Core i3-1115G4,8GB,DDR4,RTX 3050Ti,512GB,1080p,680,Lenovo
Intel Core i9-11900H,16GB,DDR4,RTX 3050,2TB,1440p,1520,ASUS
Intel Core i9-11900H,32GB,DDR4,RTX 3050Ti,512GB,4K,1670,Dell
AMD Ryzen 7 7730U,32GB,DDR5,RTX 4070,512GB,4K,2230,ASUS
Intel Core i5-11400H,8GB,DDR4,Integrated,256GB,1080p,510,Lenovo
AMD Ryzen 7 7730U,32GB,DDR5,RTX 3080,1TB,1440p,2000,ASUS
AMD Ryzen 3 5300U,16GB,DDR4,Integrated,256GB,1080p,560,HP
AMD Ryzen 3 3250U,16GB,DDR4,RTX 3060,256GB,1080p,770,Lenovo
AMD Ryzen 9 5900HX,16GB,DDR5,RTX 2070,512GB,1440p,1540,ASUS
AMD Ryzen 9 5900HX,32GB,DDR5,RTX 4090,1TB,1080p,2690,Razer
Intel Core i5-12500H,16GB,DDR4,GTX 1660Ti,512GB,1440p,980,Lenovo
AMD Ryzen 9 5900HX,16GB,DDR4,RTX 3070,2TB,4K,1930,MSI
Intel Core i3-1005G1,16GB,DDR4,RTX 3060,512GB,1080p,1010,Gigabyte
AMD Ryzen 7 5800H,16GB,DDR5,GTX 1650,256GB,1440p,1130,Dell
AMD Ryzen 9 7940HS,64GB,DDR5,RTX 4060,1TB,1440p,2260,Lenovo
Intel Core i9-13900H,32GB,DDR4,RTX 4070,512GB,4K,2510,MSI
Intel Core i7-12700H,64GB,DDR5,RTX 3080,1TB,4K,2800,Dell
Intel Core i5-12500H,16GB,DDR4,RTX 4050,256GB,1080p,1030,ASUS
AMD Ryzen 9 5900HX,32GB,DDR5,RTX 3080,2TB,4K,3080,Alienware
Intel Core i9-13900H,64GB,DDR4,RTX 3060,512GB,4K,1990,Dell
AMD Ryzen 3 3250U,8GB,DDR4,GTX 1660,128GB,720p,450,Acer
Intel Core i5-12500H,16GB,DDR4,GTX 1660Ti,1TB,1080p,870,Dell
AMD Ryzen 7 7730U,16GB,DDR5,GTX 1660,512GB,1080p,910,Dell
Intel Core i3-1005G1,4GB,DDR4,GTX 1050Ti,512GB,1080p,520,Dell
AMD Ryzen 9 7940HS,16GB,DDR5,RTX 3070,512GB,4K,1980,Gigabyte
Intel Core i7-13620H,64GB,DDR4,RTX 4060,1TB,1080p,1610,MSI
AMD Ryzen 3 5300U,32GB,DDR4,RTX 4050,256GB,1080p,1060,Dell
Intel Core i5-12500H,16GB,DDR4,GTX 1660,512GB,1080p,710,HP
Intel Core i5-12500H,8GB,DDR4,RTX 3050Ti,256GB,1080p,880,MSI
Intel Core i9-13900H,16GB,DDR5,RTX 3050,512GB,1080p,1340,Gigabyte
Intel Core i3-1005G1,16GB,DDR4,RTX 2060,1TB,1080p,790,Dell
AMD Ryzen 9 5900HX,16GB,DDR5,RTX 3050,1TB,1080p,1110,Lenovo
AMD Ryzen 5 5600H,32GB,DDR4,RTX 2070,512GB,1080p,1200,ASUS
AMD Ryzen 5 5500U,8GB,DDR4,RTX 3050,256GB,1080p,670,Acer
AMD Ryzen 5 5500U,16GB,DDR4,RTX 3050,256GB,1080p,780,Dell
Intel Core i5-11400H,16GB,DDR4,RTX 2070,512GB,720p,720,Dell
AMD Ryzen 9 5900HX,64GB,DDR4,RTX 2070,1TB,1080p,1350,Dell
Intel Core i7-13620H,16GB,DDR5,GTX 1650,256GB,1080p,970,Dell
Intel Core i7-13620H,16GB,DDR5,GTX 1660Ti,1TB,1080p,1100,ASUS
AMD Ryzen 9 5900HX,32GB,DDR4,RTX 3050Ti,1TB,4K,1630,Dell
Intel Core i9-13900H,16GB,DDR5,RTX 2060,2TB,4K,2290,MSI
AMD Ryzen 5 5600H,8GB,DDR4,Integrated,512GB,1440p,640,Lenovo
AMD Ryzen 9 5900HX,32GB,DDR4,RTX 2070,512GB,1440p,1640,MSI
Intel Core i7-12700H,32GB,DDR4,RTX 3060,512GB,1080p,1240,ASUS
Intel Core i5-11400H,16GB,DDR4,GTX 1660Ti,512GB,720p,610,Dell
AMD Ryzen 7 7730U,16GB,DDR5,RTX 3050Ti,512GB,1440p,1290,Lenovo
Intel Core i7-13620H,64GB,DDR5,RTX 3060,512GB,1440p,1800,Dell
AMD Ryzen 5 5500U,4GB,DDR4,GTX 1050Ti,256GB,1080p,600,Dell
AMD Ryzen 5 5600H,8GB,DDR4,RTX 3050,1TB,1440p,900,HP
Intel Core i9-11900H,32GB,DDR4,RTX 3070,1TB,1440p,1700,Gigabyte
AMD Ryzen 7 7730U,16GB,DDR5,GTX 1050Ti,512GB,1080p,890,Lenovo
Intel Core i9-13900H,64GB,DDR4,RTX 3070,1TB,4K,2120,Dell
Intel Core i3-1115G4,16GB,DDR4,GTX 1660,256GB,1080p,750,Dell
AMD Ryzen 5 5600H,32GB,DDR3,RTX 2070,512GB,1080p,910,ASUS
AMD Ryzen 7 5800H,64GB,DDR5,GTX 1660Ti,256GB,1440p,2130,MSI
AMD Ryzen 3 3250U,4GB,DDR4,Integrated,512GB,1080p,420,Acer
AMD Ryzen 9 7940HS,64GB,DDR5,RTX 2060,512GB,1080p,1920,ASUS
AMD Ryzen 7 5800H,16GB,DDR5,RTX 4050,512GB,1440p,1390,Dell
Intel Core i9-13900H,16GB,DDR4,RTX 3080,1TB,1080p,1750,Alienware
AMD Ryzen 7 7730U,16GB,DDR5,RTX 2070,512GB,1080p,1190,Gigabyte
AMD Ryzen 5 5600H,16GB,DDR4,GTX 1050Ti,512GB,1440p,970,Lenovo
AMD Ryzen 7 7730U,16GB,DDR5,RTX 3050,512GB,1080p,1150,ASUS
AMD Ryzen 3 3250U,16GB,DDR4,Integrated,256GB,1080p,510,Acer
AMD Ryzen 7 7730U,16GB,DDR5,GTX 1660,512GB,1080p,1030,Dell
Intel Core i3-1115G4,8GB,DDR4,GTX 1050Ti,128GB,1080p,560,Dell
Intel Core i7-13620H,32GB,DDR5,RTX 2070,1TB,1080p,1590,MSI
AMD Ryzen 3 3250U,32GB,DDR4,RTX 3050Ti,256GB,1080p,1050,ASUS
Intel Core i7-13620H,64GB,DDR4,RTX 4070,1TB,1080p,1890,ASUS
Intel Core i7-12700H,16GB,DDR4,GTX 1050Ti,256GB,1080p,830,Dell
Intel Core i7-12700H,32GB,DDR4,RTX 3060,256GB,1080p,1400,MSI
Intel Core i3-1115G4,8GB,DDR3,GTX 1660Ti,1TB,720p,460,Acer
AMD Ryzen 3 5300U,32GB,DDR4,GTX 1660Ti,512GB,1080p,790,Acer
Intel Core i5-10300H,16GB,DDR4,RTX 4050,512GB,1080p,960,ASUS
AMD Ryzen 7 5800H,32GB,DDR5,RTX 3050,512GB,1080p,1250,MSI
Intel Core i7-13620H,32GB,DDR5,RTX 2070,512GB,1080p,1280,Dell
AMD Ryzen 7 5800H,32GB,DDR4,RTX 2070,512GB,1440p,1260,Dell
Intel Core i5-12500H,16GB,DDR5,Integrated,256GB,1440p,890,Lenovo
Intel Core i7-11800H,16GB,DDR4,RTX 3060,256GB,1080p,1180,MSI
AMD Ryzen 5 5500U,16GB,DDR4,RTX 4050,1TB,720p,850,ASUS
Intel Core i3-1115G4,16GB,DDR4,RTX 3050,512GB,1080p,720,Dell
Intel Core i9-12900H,32GB,DDR5,RTX 3060,2TB,1080p,1600,ASUS
Intel Core i3-1115G4,16GB,DDR4,RTX 4050,512GB,1080p,850,Gigabyte
Intel Core i3-1115G4,8GB,DDR4,RTX 3060,256GB,1080p,820,Dell
AMD Ryzen 7 7730U,16GB,DDR5,RTX 4060,512GB,1080p,1160,Lenovo
Intel Core i9-11900H,32GB,DDR4,RTX 4090,1TB,1440p,2910,Alienware
Intel Core i3-1005G1,32GB,DDR4,RTX 2070,512GB,1080p,1030,Dell
AMD Ryzen 7 7730U,16GB,DDR5,GTX 1660,1TB,1080p,1180,MSI
Intel Core i5-12500H,8GB,DDR4,Integrated,512GB,1080p,540,HP
Intel Core i5-11400H,8GB,DDR4,RTX 3050Ti,512GB,1080p,850,MSI
Intel Core i7-13620H,16GB,DDR5,RTX 4070,1TB,1440p,1690,Lenovo
AMD Ryzen 9 7940HS,64GB,DDR5,RTX 4070,2TB,1440p,3430,Alienware
AMD Ryzen 7 5800H,32GB,DDR5,RTX 3050,512GB,1080p,1250,Dell
Intel Core i9-11900H,32GB,DDR4,RTX 4050,1TB,4K,1830,Lenovo
Intel Core i5-10300H,8GB,DDR4,GTX 1660,256GB,720p,590,Dell
AMD Ryzen 3 3250U,16GB,DDR4,RTX 3060,256GB,1080p,880,ASUS
AMD Ryzen 9 5900HX,32GB,DDR4,RTX 3060,512GB,4K,1770,Lenovo
AMD Ryzen 5 5600H,16GB,DDR4,GTX 1050Ti,1TB,1080p,820,Dell
AMD Ryzen 9 7940HS,16GB,DDR5,RTX 3050,1TB,4K,2000,Gigabyte
AMD Ryzen 9 5900HX,32GB,DDR4,RTX 4090,1TB,1440p,2920,Alienware
AMD Ryzen 9 5900HX,32GB,DDR4,RTX 3080,1TB,1440p,2110,Razer
Intel Core i5-10300H,16GB,DDR3,RTX 3050Ti,256GB,1080p,680,Dell
AMD Ryzen 9 5900HX,64GB,DDR4,RTX 2070,512GB,4K,2130,Lenovo
Intel Core i3-1115G4,16GB,DDR4,RTX 2060,512GB,1080p,810,Lenovo
